handle,name,category,reviews,rating,reviews_gained,rank_now,rank_change,days_observed,elapsed_days,reviews_per_day
judgeme,Judge.me Product Reviews App,store-design-site-optimization-seo,42398,5.0,0,1,0,1e-09,0.0,
tiktok,TikTok,marketing-and-conversion-advertising-ads,15188,4.8,0,3,0,1e-09,0.0,
flow,Shopify Flow,store-management-operations-workflow-automation,11375,4.7,0,1,0,1e-09,0.0,
loox,Loox ‑ Product Reviews App,marketing-and-conversion-social-trust-product-reviews,8785,4.9,0,8,0,1e-09,0.0,
pop-convert,"Pop Convert ‑ Pop Ups, Banners",store-design-notifications-pop-ups,8557,4.9,0,6,0,1e-09,0.0,
shop,Shop,sales-channels-selling-online-marketplaces,8154,4.8,0,7,0,1e-09,0.0,
subscriptions-by-appstle,Appstle℠ Subscriptions App,selling-products-payments-subscriptions,7962,5.0,0,1,0,1e-09,0.0,
ecomsend,SendWILL Popup Email Marketing,store-design-notifications-pop-ups,7458,4.9,0,2,0,1e-09,0.0,
dsers,DSers: Dropship+AliExpress+AI,finding-products-sourcing-options-dropshipping,5831,5.0,0,9,0,1e-09,0.0,
pagefly,PageFly Landing Page Builder,store-design-storefronts-page-builder,5654,4.9,0,10,0,1e-09,0.0,
inbox,Shopify Inbox,store-management-support-chat,5462,4.6,0,3,0,1e-09,0.0,
booster-apps-seo-optimizer,BOOSTER AI SEO + AEO OPTIMIZER,store-design-images-and-media-image-editor,5233,4.9,0,7,0,1e-09,0.0,
google,Google & YouTube,marketing-and-conversion-advertising-ads,5026,4.5,0,2,0,1e-09,0.0,
bundle-deals,Kaching Bundles App & Upsells,marketing-and-conversion-upsell-and-bundles-product-bundles,4947,5.0,0,2,0,1e-09,0.0,
facebook,Facebook & Instagram,marketing-and-conversion-advertising-ads,4872,3.7,0,5,0,1e-09,0.0,
product-options-pro,"Globo Product Options, Variant",selling-products-custom-products-product-variants,4669,4.9,0,2,0,1e-09,0.0,
yotpo-social-reviews,Yotpo: Product Reviews App,store-design-site-optimization-seo,4391,4.8,0,32,0,1e-09,0.0,
google-shopping-feed,Simprosys Google Shopping Feed,sales-channels-selling-online-marketplaces,4334,4.9,0,1,0,1e-09,0.0,
avada-seo-suite,Avada AI SEO Image Optimizer,store-design-images-and-media-image-editor,4325,4.9,0,10,0,1e-09,0.0,
printify,Printify: Print on Demand,finding-products-sourcing-options-dropshipping,4246,4.7,0,5,0,1e-09,0.0,
smile-io,Smile: Loyalty Program Rewards,store-design-notifications-pop-ups,4147,4.9,0,1,0,1e-09,0.0,
shopify-messaging,Shopify Messaging,marketing-and-conversion-marketing-sms-marketing,4037,4.7,0,7,0,1e-09,0.0,
freegifts,BOGOS: Free Gift Bundle Upsell,marketing-and-conversion-upsell-and-bundles-product-bundles,3995,5.0,0,7,0,1e-09,0.0,
privy,"Privy ‑ Email, SMS & Pop Ups",marketing-and-conversion-marketing-sms-marketing,3975,4.5,0,23,0,1e-09,0.0,
gempages,GemPages Landing Page Builder,store-design-storefronts-page-builder,3935,4.9,0,4,0,1e-09,0.0,
17track,17TRACK Order Tracking,orders-and-shipping-shipping-solutions-shipping,3777,4.9,0,1,0,1e-09,0.0,
cartbite,"Back In Stock,Notify Me: Kbite",marketing-and-conversion-upsell-and-bundles-stock-alerts,3764,5.0,0,1,0,1e-09,0.0,
printful,Printful: Print on Demand,finding-products-sourcing-options-dropshipping,3661,4.8,0,9,0,1e-09,0.0,
affliate-by-secomapp,UpPromote Affiliate Marketing,marketing-and-conversion-advertising-affiliate-programs,3556,4.9,0,1,0,1e-09,0.0,
preorder-back-in-stock,Notify Me! Back in Stock Alert,marketing-and-conversion-upsell-and-bundles-pre-orders,3444,4.9,0,2,0,1e-09,0.0,
back-in-stock-restock-alerts,"Preorder, Back In Stock ‑ STOQ",marketing-and-conversion-upsell-and-bundles-pre-orders,3421,5.0,0,3,0,1e-09,0.0,
product-reviews-addon,Stamped Reviews & Loyalty,marketing-and-conversion-social-trust-product-reviews,3410,4.7,0,64,0,1e-09,0.0,
ecomposer,EComposer Landing Page Builder,store-design-storefronts-page-builder,3356,4.9,0,2,0,1e-09,0.0,
qbconnector,QuickBooks Online,store-management-finances-accounting,3165,4.8,0,1,0,1e-09,0.0,
pumper-quantity-breaks-product-bundles-discounts,Pumper Bundles Quantity Breaks,marketing-and-conversion-promotions-discounts,3159,4.9,0,1,0,1e-09,0.0,
air-reviews,AG Product Reviews App & UGC,marketing-and-conversion-social-trust-product-reviews,2970,5.0,0,2,0,1e-09,0.0,
subscription-payments,Recharge Subscriptions App,selling-products-payments-subscriptions,2936,4.8,0,12,0,1e-09,0.0,
omnisend,Omnisend Email Marketing & SMS,store-design-notifications-pop-ups,2935,4.8,0,4,0,1e-09,0.0,
klaviyo-email-marketing,Klaviyo: Email Marketing & SMS,marketing-and-conversion-marketing-sms-marketing,2919,4.7,0,1,0,1e-09,0.0,
seal-subscriptions,Seal Subscriptions App,selling-products-payments-subscriptions,2904,4.9,0,3,0,1e-09,0.0,
gdpr-cookie-consent,Pandectes GDPR Compliance,store-design-internationalization-cookie-consent,2875,5.0,0,2,0,1e-09,0.0,
parcelpanel,CWILL Order Tracking,orders-and-shipping-shipping-solutions-shipping,2842,5.0,0,3,0,1e-09,0.0,
easify-product-options,Easify Custom Product Options,selling-products-custom-products-product-variants,2828,4.9,0,1,0,1e-09,0.0,
vitals,"Vitals: Reviews, Bundles & 40+",marketing-and-conversion-upsell-and-bundles-product-bundles,2786,4.9,0,18,0,1e-09,0.0,
free-shipping-bar,Hextom: Free Shipping Bar,store-design-notifications-banners,2781,4.9,0,6,0,1e-09,0.0,
reconvert-upsell-cross-sell,Upsell.com ‑ ReConvert Upsell,marketing-and-conversion-checkout-cart-customization,2773,4.8,0,23,0,1e-09,0.0,
variant-swatch-king,Color Swatch King: Variants,selling-products-custom-products-product-variants,2741,5.0,0,11,0,1e-09,0.0,
section-factory,Section Store: Theme Sections,store-design-storefronts-page-builder,2664,4.9,0,1,0,1e-09,0.0,
order-printer-pro,Order Printer Pro: PDF Invoice,orders-and-shipping-orders-invoices-and-receipts,2643,4.9,0,1,0,1e-09,0.0,
cucheng,CJdropshipping: Much Faster,finding-products-sourcing-options-dropshipping,2505,4.9,0,6,0,1e-09,0.0,
releasit-cod-order-form,Releasit COD Form & Upsells,selling-products-payments-pay-later,2491,4.9,0,3,0,1e-09,0.0,
transcy-multiple-languages,Transcy: AI Language Translate,store-design-internationalization-currency-and-translation,2487,4.5,0,15,0,1e-09,0.0,
bundler-product-bundles,Bundler ‑ Product Bundles App,marketing-and-conversion-upsell-and-bundles-product-bundles,2457,4.9,0,11,0,1e-09,0.0,
upsell-cross-sell-kit-1,Upsell & Cross Sell — Selleasy,marketing-and-conversion-upsell-and-bundles-product-bundles,2449,4.9,0,3,0,1e-09,0.0,
google-seo-schema-meta-data,"Tapita AI SEO Optimizer, Speed",store-design-images-and-media-image-editor,2437,5.0,0,5,0,1e-09,0.0,
custom-options,Infinite Product Options,selling-products-custom-products-product-variants,2407,4.7,0,15,0,1e-09,0.0,
seo-booster,"SearchPie: SEO, Speed & Schema",store-design-images-and-media-image-editor,2324,4.9,0,8,0,1e-09,0.0,
form-builder-contact-form,Powerful Contact Form Builder,store-design-notifications-forms,2290,4.9,0,1,0,1e-09,0.0,
automizely-messages,"AfterShip Email Marketing,SMS",marketing-and-conversion-marketing-sms-marketing,2265,4.8,0,26,0,1e-09,0.0,
seolab,SEOLab: All in #1 SEO — AI SEO,store-design-images-and-media-image-editor,2232,5.0,0,3,0,1e-09,0.0,
smart-image-optimizer,Tiny SEO Speed Image Optimizer,store-design-images-and-media-image-editor,2231,5.0,0,1,0,1e-09,0.0,
product-options-by-bss,"OPTIS Product Options, Variant",selling-products-custom-products-product-variants,2228,4.9,0,1,0,1e-09,0.0,
quick-announcement-bar-always-keep-your-customers-informed,Hextom: Quick Announcement Bar,store-design-notifications-banners,2221,4.9,0,21,0,1e-09,0.0,
essential-post-purchase-upsell,Essential Upsell & Cross Sell,marketing-and-conversion-checkout-cart-customization,2187,5.0,0,1,0,1e-09,0.0,
product-filter-and-search,Smart Product Filter & Search,store-design-search-and-navigation-search-and-filters,2167,4.9,0,1,0,1e-09,0.0,
eu-widerrufsbutton,EU Withdrawal Button & Form,store-management-security-legal,2165,4.9,0,1,0,1e-09,0.0,
cowlendar,Appointment Booking Cowlendar,selling-products-digital-goods-and-services-event-booking,2135,4.9,0,2,0,1e-09,0.0,
pushowl,"Brevo PushOwl: Email,Push,SMS",marketing-and-conversion-marketing-sms-marketing,2007,4.8,0,2,0,1e-09,0.0,
fera,Fera Product Reviews App,marketing-and-conversion-social-trust-product-reviews,1976,4.8,0,39,0,1e-09,0.0,
quicksync-etsy,Etsy Integration by QuickSync,orders-and-shipping-inventory-inventory-optimization,1924,4.9,0,5,0,1e-09,0.0,
marketplace-connect,Shopify Marketplace Connect,sales-channels-selling-online-store-data-importer,1921,4.3,0,17,0,1e-09,0.0,
timesact-discount-pre-order,Preorder Now Presale Timesact,marketing-and-conversion-upsell-and-bundles-pre-orders,1921,5.0,0,4,0,1e-09,0.0,
instafeed,Instafeed ‑ Instagram Feed,store-design-images-and-media-image-gallery,1913,4.9,0,1,0,1e-09,0.0,
data-export,Data Export IO: Reports,store-management-operations-analytics,1905,5.0,0,9,0,1e-09,0.0,
form-builder-by-hulkapps,Hulk Contact Form Builder,store-design-notifications-forms,1876,4.9,0,2,0,1e-09,0.0,
shogun,Shogun ‑ Landing Page Builder,store-design-storefronts-page-builder,1871,4.8,0,48,0,1e-09,0.0,
gdpr-backpack,Consentmo GDPR Compliance,store-design-internationalization-cookie-consent,1865,5.0,0,1,0,1e-09,0.0,
report-pundit,Report Pundit: Custom Reports,store-management-operations-analytics,1853,5.0,0,2,0,1e-09,0.0,
pre-order-pro,PreOrder Globo | Back in Stock,marketing-and-conversion-upsell-and-bundles-pre-orders,1793,4.9,0,5,0,1e-09,0.0,
bon-loyalty-rewards,BON Loyalty Program & Rewards,store-design-notifications-pop-ups,1792,5.0,0,3,0,1e-09,0.0,
click-and-collect,Zapiet ‑ Pickup + Delivery,orders-and-shipping-shipping-solutions-delivery-and-pickup,1782,4.9,0,7,0,1e-09,0.0,
chatty,Chatty AI Chatbot & Live Chat,store-management-support-faq,1779,4.9,0,1,0,1e-09,0.0,
microsoft-clarity,Microsoft Clarity: AI Insights,store-management-operations-analytics,1738,4.6,0,5,0,1e-09,0.0,
seo-master,SEOWILL: AI SEO & AI Blog Post,store-design-content-blogs,1714,4.9,0,1,0,1e-09,0.0,
joyio,Joy Loyalty Program & Rewards,marketing-and-conversion-promotions-discounts,1690,4.9,0,7,0,1e-09,0.0,
trendsi,Trendsi: Fashion Dropshipping,finding-products-sourcing-options-dropshipping,1669,4.9,0,14,0,1e-09,0.0,
globo-color-swatches,GLO Color Swatch Variant Image,selling-products-custom-products-product-variants,1660,5.0,0,3,0,1e-09,0.0,
pinterest,Pinterest,marketing-and-conversion-advertising-ads,1619,4.2,0,7,0,1e-09,0.0,
aris-product-options,"Aris Product Options, Variants",selling-products-custom-products-product-variants,1616,4.9,0,9,0,1e-09,0.0,
track123,Track123 Order Tracking,orders-and-shipping-shipping-solutions-shipping,1549,4.9,0,2,0,1e-09,0.0,
essential-countdown-timer,Essential Countdown Timer Bar,store-design-notifications-banners,1536,5.0,0,2,0,1e-09,0.0,
appointly,Appointment Booking App Apntly,selling-products-digital-goods-and-services-event-booking,1530,5.0,0,1,0,1e-09,0.0,
multi-seasonal-effects,Dakaas AI 3D Seasonal Effects,store-design-design-elements-animation-and-effects,1520,4.9,0,1,0,1e-09,0.0,
blockify,"Blockify Fraud Filter, Blocker",store-management-security-fraud,1501,4.9,0,1,0,1e-09,0.0,
avada-boost-sales,Avada Boost Sales Trust Badges,store-design-design-elements-badges-and-icons,1496,5.0,0,19,0,1e-09,0.0,
product-filter-search,Boost AI Search & Filter,store-design-search-and-navigation-search-and-filters,1496,4.7,0,9,0,1e-09,0.0,
sealapps-product-review,CWILL(Trustoo) Product Reviews,marketing-and-conversion-marketing-email-marketing,1492,4.9,0,10,0,1e-09,0.0,
aov-bundle-upsell,AOV.ai Bundles Upsell,marketing-and-conversion-upsell-and-bundles-product-bundles,1491,5.0,0,12,0,1e-09,0.0,
product-labels,DECO Product Labels & Badges,store-design-design-elements-badges-and-icons,1487,5.0,0,1,0,1e-09,0.0,
globo-mega-menu,"Globo Mega Menu, Navigation",store-design-search-and-navigation-navigation-and-menus,1478,4.9,0,1,0,1e-09,0.0,
custom-pricing-discounts-by-appikon,Shopacado ‑ Volume Discounts,selling-products-pricing-pricing-optimization,1444,4.7,0,33,0,1e-09,0.0,
ultimate-sales-boost,Hextom: Upsell Sales Boost,marketing-and-conversion-upsell-and-bundles-countdown-timer,1428,4.8,0,6,0,1e-09,0.0,
referralcandy,Referral Candy & Affiliate,marketing-and-conversion-advertising-affiliate-programs,1404,4.9,0,11,0,1e-09,0.0,
translate-and-adapt,Shopify Translate & Adapt,store-design-internationalization-currency-and-translation,1394,4.5,0,11,0,1e-09,0.0,
returns-center-by-aftership,AfterShip Returns & Exchanges,orders-and-shipping-returns-and-warranty-returns-and-exchanges,1392,4.7,0,5,0,1e-09,0.0,
rivo-loyalty,"Rivo: Loyalty Program, Rewards",marketing-and-conversion-customer-loyalty-loyalty-and-rewards,1391,4.7,0,15,0,1e-09,0.0,
ali-reviews,Ali Reviews: AI Product Review,marketing-and-conversion-marketing-email-marketing,1389,4.8,0,17,0,1e-09,0.0,
google-reviews-trust-badge,Google Reviews by Reputon,marketing-and-conversion-social-trust-social-proof,1387,4.9,0,3,0,1e-09,0.0,
customer-back-in-stock-alert-user-notification-app,Appikon ‑ Back In Stock,marketing-and-conversion-marketing-sms-marketing,1363,4.7,0,30,0,1e-09,0.0,
swym-relay,Swym Wishlist Plus,marketing-and-conversion-customer-loyalty-wishlists,1340,4.8,0,11,0,1e-09,0.0,
excel-export-import,Matrixify,store-management-operations-bulk-editor,1334,4.9,0,1,0,1e-09,0.0,
layout-hub,LayoutHub ‑ Easy Page Builder,store-design-storefronts-page-builder,1329,5.0,0,9,0,1e-09,0.0,
okendo-reviews,Okendo: Reviews & Loyalty,marketing-and-conversion-social-trust-product-reviews,1308,4.9,0,22,0,1e-09,0.0,
aftership,AfterShip Order Tracking,orders-and-shipping-shipping-solutions-shipping,1305,4.6,0,16,0,1e-09,0.0,
mailchimp,Mailchimp Email SMS Marketing,marketing-and-conversion-marketing-sms-marketing,1303,4.8,0,6,0,1e-09,0.0,
product-labels-by-bss,TA AI Product Labels & Badges,store-design-design-elements-badges-and-icons,1303,4.9,0,9,0,1e-09,0.0,
