handle,name,developer,description,rating,reviews,category,has_free_plan,min_price,max_price,url
appenviosperros,Envíosperros,EnvíosPerros,,,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/appenviosperros
livearf-s,LIVEARf Wall Gallery S+,Acumen Technologies Group Inc,"Seamlessly arrange artworks, photos, or collages in a stunning Gallery Wall with Multiple Images Wall Galleries, Collages, Split Panels, Tiles, and Wall Murals",,,store-design-images-and-media-3d-ar-vr,True,49.99,49.99,https://apps.shopify.com/livearf-s
easylogic-functions-studio,Function Studio,EasyLogicTools,"Flow-style function builder - code visually BOGO, volume discounts, volume bundles, mix and match bundles, gift with purchase",4.9,16.0,marketing-and-conversion-promotions-discounts,True,29.0,199.0,https://apps.shopify.com/easylogic-functions-studio
backinstock-1,BackInStock,PapayWidgets,"Back-in-Stock sends automated restock alerts to customers, turning out-of-stock moments into recovered sales and higher conversions.",,,marketing-and-conversion-upsell-and-bundles-stock-alerts,True,1.0,1.0,https://apps.shopify.com/backinstock-1
reno-ai-product-descriptions,AI ChatGPT Product Description,Sensory AI,"Generate 10K+ product titles, descriptions, and tags in seconds. Reno AI automates SEO, fixes weak content, supports 38+ languages, and helps stores get discove",,,store-design-content-product-content,True,11.99,65.99,https://apps.shopify.com/reno-ai-product-descriptions
lighthouse-smart-slack-alerts,Lighthouse: Slack Alerts,Eccomplished,Get realtime Slack alerts for your Shopify store. Filter orders by value and much more.,5.0,2.0,,True,19.0,19.0,https://apps.shopify.com/lighthouse-smart-slack-alerts
seo-hero-ai-audit-tool,SEO HERO: AI Audit Tool,Designful Inc,"The AI SEO app for Shopify. Run a full SEO audit, fix issues in bulk & track Google Search Console data. Real-time SEO scores and CRO tool included.",5.0,23.0,store-design-site-optimization-seo,True,14.0,99.0,https://apps.shopify.com/seo-hero-ai-audit-tool
discount-tiers,Ware ‑ Tiered Discounts,XYZ,,,,marketing-and-conversion-promotions-discounts,True,,,https://apps.shopify.com/discount-tiers
clickwear,ClickWear,Coldesi Inc,,3.0,1.0,selling-products-custom-products-product-variants,True,9.99,99.0,https://apps.shopify.com/clickwear
ekko-earth-1,ekko: embedded climate action,ekko Earth Limited,Help shoppers understand the impact of their purchases and take action. ekko adds simple climate insight and contribution options to Shopify.,,,marketing-and-conversion-customer-loyalty-donations,True,,,https://apps.shopify.com/ekko-earth-1
imapi-discount,im•api (discount),im•api,,5.0,3.0,marketing-and-conversion-promotions-discounts,True,49.0,149.0,https://apps.shopify.com/imapi-discount
aislelabs,Aislelabs,Aislelabs Connect,,,,,False,,,https://apps.shopify.com/aislelabs
autopost-social-media-ai-post,AutoPost: AI Social Media Post,Amasty,"Boost your social media with our auto poster for Twitter. Generate AI-powered posts, schedule, and automate your social media with ease.",4.1,26.0,,True,9.99,15.99,https://apps.shopify.com/autopost-social-media-ai-post
aura-wonder-virtual-try-on,Aura Wonder ‑ Virtual Try‑On,Openkan LLC,Let visitors and customers see themselves wearing your clothes before they buy. AI-powered virtual fitting room for Shopify clothing stores.  Easy setup.,,,store-design-images-and-media-3d-ar-vr,True,59.0,999.0,https://apps.shopify.com/aura-wonder-virtual-try-on
upsell,Avocados upsell with triggers,Avocados Lab,Trigger based upsell app which allows you to capture various customer actions for showing upsell!,5.0,1.0,,True,4.99,4.99,https://apps.shopify.com/upsell
epsilon-tag-integration,Epsilon Tag Integration,"Epsilon Data Management, LLC","Manage Epsilon tracking in your store admin. Enable theme embed and web pixel extensions for consent-based analytics, attribution, and privacy compliance.",,,,True,29.99,29.99,https://apps.shopify.com/epsilon-tag-integration
zigzag-delivery-official,ZigZag Delivery (Official),Datalogics,,,,,True,,,https://apps.shopify.com/zigzag-delivery-official
avalonae-pixel,Avalonae Pixel,tidal matrix investment group limited,"Install Meta Pixel with one click and send server-side conversion events via CAPI. Webhook safety net, attribution dashboard, and GDPR-ready. No code required.",,,marketing-and-conversion-advertising-ads,True,9.99,24.99,https://apps.shopify.com/avalonae-pixel
spectrum-product-customization,Spectrum Product Customization,Spectrum Customizer,"Let shoppers customize products directly on your storefront with a full-screen design overlay, live cart previews, upcharges, and one-click reorder support.",,,store-design-images-and-media-3d-ar-vr,True,200.0,200.0,https://apps.shopify.com/spectrum-product-customization
popify,Popify ‑ Social Proof SalesPop,importify limited,Creates pop Urgency By showing a  popup notification and converting your visitor into a customer.,5.0,16.0,store-design-notifications-pop-ups,True,9.95,24.95,https://apps.shopify.com/popify
barcode-stock-transfer-scanner,Barcode Stock Transfer Scanner,Atlas Agencia,"Scan barcodes to manage store-to-store stock transfers accurately. Track shipments, verify receipts, and reduce errors with barcode scanning technology.",3.0,1.0,orders-and-shipping-inventory-inventory-optimization,False,7.5,19.9,https://apps.shopify.com/barcode-stock-transfer-scanner
eshipz-shipping-in-india,eShipz || Shipping Software,eShipz.com (LogIQ Labs Private Ltd),"eShipz Multi-Carrier Shipping Label  Printing Solution. The app supports 220+ shipping carriers such as Bluedart, DHL, FedEx, Delhivery, Ecom Express, UPS etc.",3.3,28.0,orders-and-shipping-shipping-solutions-shipping,True,12.99,84.99,https://apps.shopify.com/eshipz-shipping-in-india
uptop,Uptop,Uptop,"An entirely-yours, entirely-flexible way to build customer loyalty -- all made possible by blockchain.  ",,,,True,299.0,299.0,https://apps.shopify.com/uptop
prime-swatches,Color Swatches | Wevyr,themelab,"Organize products with multi-level groups and swatches. Ideal for jewelry and clothing stores to boost navigation, product discovery, and customer experience.",3.5,10.0,,True,5.0,10.0,https://apps.shopify.com/prime-swatches
licensespring-fulfillment,LicenseSpring Fulfillment,Chromatic Wave Software,,5.0,1.0,store-management-operations-workflow-automation,True,,,https://apps.shopify.com/licensespring-fulfillment
wizy-product-recommendation,Wizy Product Recommendation,PATH,Customizable banners with Wizy Product Recommendation App,,,,True,4.99,4.99,https://apps.shopify.com/wizy-product-recommendation
link-squeeze,Link Squeeze: Short Links,Link Squeeze,"Create short, trackable, and brandable short links and make informed decisions for your marketing campaigns.",4.0,1.0,store-management-operations-analytics,True,9.99,9.99,https://apps.shopify.com/link-squeeze
crokit,CROkit,CROkit,"CROkit is a simple and effective way to incentivize purchases on product pages through the use of tiered offers, upsells, and psychological triggers.",5.0,1.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,49.99,49.99,https://apps.shopify.com/crokit
simple-affiliate,Simple Affiliate Marketing,SA Inc.,"Launch and scale your influencer marketing and affiliate marketing programs. Track referrals via links, codes and products to grow your brand and drive sales.",4.9,117.0,marketing-and-conversion-advertising-affiliate-programs,True,19.0,69.0,https://apps.shopify.com/simple-affiliate
sellerbird-com,SellerBIRD Bundles,SellerBIRD,,,,,True,3.95,3.95,https://apps.shopify.com/sellerbird-com
truesource-customer-source-tracking,TrueSource ‑ Order Attribution,blackash_web,TrueSource is a professional order attribution and conversion tracking app designed to bridge the gap between technical pixel data and real customer behaviour. ,5.0,1.0,store-management-support-surveys,True,10.0,29.0,https://apps.shopify.com/truesource-customer-source-tracking
jtdl-bundles-discounts,JTDL: Bundles & Discounts,JT Digital Lab Limited,"Create mix & match bundles, offer discounts, and run gift-with-purchase promotions on Shopify. Boost sales, AOV, and customer engagement easily.",5.0,1.0,marketing-and-conversion-upsell-and-bundles-product-bundles,True,1.99,29.99,https://apps.shopify.com/jtdl-bundles-discounts
fugu-sensing-post-payment-risk,FUGU ‑ Every Payment Counts,fugu,,3.7,3.0,store-management-operations-workflow-automation,True,99.0,599.0,https://apps.shopify.com/fugu-sensing-post-payment-risk
3pl-drop,3PL Drop,Flycat Ltd,,,,,True,,,https://apps.shopify.com/3pl-drop
dropeek,Dropeek: Dropshipping Products,I.M Expert LTD,"Dropeek is the ultimate product research tool for dropshippers. Discover trending, non-saturated products, analyze competitors, and easily import to your store.",5.0,1.0,finding-products-sourcing-options-dropshipping,True,9.9,39.9,https://apps.shopify.com/dropeek
billfree,BillFree,BillFree,,,,,False,,,https://apps.shopify.com/billfree
rankmath-seo-audit-optimizer,Rankmath SEO Audit & Optimizer,Bluepeaks Studio,"Audit and improve SEO across products, collections, and articles with AI fixes, metadata tools, internal linking, content insights, and performance tracking.",,,store-design-content-blogs,True,19.0,49.0,https://apps.shopify.com/rankmath-seo-audit-optimizer
widrop,WiDrop,Widrop,,5.0,1.0,finding-products-sourcing-options-dropshipping,True,,,https://apps.shopify.com/widrop
ecomfulfillment-eu-app,Ecomfulfillment.eu App,European Fulfillment Center,,,,orders-and-shipping-inventory-inventory-sync,True,,,https://apps.shopify.com/ecomfulfillment-eu-app
ongkiro,Ongkiro IndoShip,Ongkiro,,,,,True,8.0,20.0,https://apps.shopify.com/ongkiro
product-photo-reviews-by-enormapps,Product Reviews with Photo PRO,EnormApps  ,,4.9,124.0,,True,7.99,7.99,https://apps.shopify.com/product-photo-reviews-by-enormapps
smart-announcement-bar,SB Announcement Bar,Startbit IT Solutions Pvt. Ltd.,"Create announcement bars for your Shopify store. Target by page, cart value, location, or customer with countdown timers and scheduling.",5.0,1.0,store-design-notifications-banners,True,2.99,2.99,https://apps.shopify.com/smart-announcement-bar
amazon-payment-supression,PayCloak: Hide Payment Methods,Seventh Triangle Consulting,,,,,True,,,https://apps.shopify.com/amazon-payment-supression
flits-wishlist-app,Flits Wishlist,Flits,Shopify wishlist app that lets shoppers save products with wishlists and recover lost sales with Notify me for wishlisted items.,5.0,6.0,marketing-and-conversion-customer-loyalty-wishlists,True,19.0,19.0,https://apps.shopify.com/flits-wishlist-app
bundle-builder-5,Bundle Builder,dharma.h Software Technologies Private Limited,"Create custom product bundles, apply flexible discounts, and increase sales with Bundle Builder. Drive conversions and maximize revenue effortlessly.",,,marketing-and-conversion-upsell-and-bundles-product-bundles,True,29.0,59.0,https://apps.shopify.com/bundle-builder-5
roadie,Roadie: artist & music set‑up,Thomas Dhondt,"Roadie adds music-specific blocks to your Shopify store: album hero, discography, audio player, tour dates and more. They match your theme, with no code.",,,store-design-storefronts-page-builder,True,4.99,4.99,https://apps.shopify.com/roadie
currencify,Currencify: Currency Switcher,Winsomies,Easily display prices in visitors’ local currencies with Currencify. Simplify global shopping with automatic location detection and manual currency switching.,,,store-design-internationalization-currency-and-translation,True,5.99,5.99,https://apps.shopify.com/currencify
betameta,Metafields,Betameta,,5.0,1.0,,True,28.0,28.0,https://apps.shopify.com/betameta
edock,MarketRock,MarketRock,,5.0,4.0,,True,25.0,149.0,https://apps.shopify.com/edock
cartista,Cartista AI Upsell Cross Sell,Algo Commerce,Increase Your AOV with AI Upsells,5.0,1.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,4.99,4.99,https://apps.shopify.com/cartista
gopixel-google-ads-tracking,GoPixel ‑ Google Ads Tracking,Commerce Plus,"Track Google Ads conversions with GTM & server-side setup. Easy install, enhanced conversions, and error-free tracking, built for your Shopify stores.",4.4,7.0,store-management-operations-analytics,True,,,https://apps.shopify.com/gopixel-google-ads-tracking
ac-product-copy-generator,CopyMate AI,Apps Cyclone Technology JSC,"Turn hours of writing product descriptions into minutes — with SEO-optimized, multilingual copy that speaks your brand voice.",,,store-design-internationalization-currency-and-translation,True,4.99,4.99,https://apps.shopify.com/ac-product-copy-generator
collectionsort-1,Flexible Collection Sort,pluginappstore,,,,store-design-product-display-collections,True,4.0,4.0,https://apps.shopify.com/collectionsort-1
loopmello,Loopmello Post‑Purchase Intent,Loopmello,Post-purchase surveys for Shopify brands.,,,store-management-support-surveys,False,,,https://apps.shopify.com/loopmello
products-seo-tags,GoSEO ‑ SEO Products,Axel Hardy,,4.7,41.0,store-design-site-optimization-seo,True,14.0,14.0,https://apps.shopify.com/products-seo-tags
fourcore-breadcrumbs,FourCore Breadcrumbs,FourCore,"Add Smart Auto or menu-based breadcrumbs with automatic JSON-LD schema. Improve SEO, structured data accuracy, and storefront navigation.",5.0,16.0,store-design-search-and-navigation-navigation-and-menus,True,2.99,2.99,https://apps.shopify.com/fourcore-breadcrumbs
smartbill-connector,SmartBill Connector,Mr. Alien,,,,,True,,,https://apps.shopify.com/smartbill-connector
og-social,COS ‑ Social Share Images,Costinas.C,"Automatically create branded Open Graph preview images for every Shopify product, collection, and page. Boost clicks on links shared to social media.",,,store-design-site-optimization-seo,True,5.0,5.0,https://apps.shopify.com/og-social
parts-diagram,PapaThemes Parts Diagram,ALLCOMMERCE,Turn exploded-view drawings into shoppable storefront experiences. Pinpoint or polygon hotspots with inline add-to-cart. Theme App Extension.,,,,True,7.99,49.99,https://apps.shopify.com/parts-diagram
fedex-ltl-freight-quotes,Eniture's LTL Freight Quotes,Eniture Technology,Connect your FedEx account and use your negotiated rates to offer real-time options for LTL freight quotes during checkout.,5.0,7.0,orders-and-shipping-shipping-solutions-shipping-rates,True,20.0,40.0,https://apps.shopify.com/fedex-ltl-freight-quotes
doss-arp,DOSS,Doss,Manage your operations from PO to POS with the DOSS Shopify app,,,store-management-operations-workflow-automation,True,,,https://apps.shopify.com/doss-arp
cloudshelf,Cloudshelf,Cloudshelf Ltd,"Automatically create in-store digital displays, endless aisles and interactive kiosks directly using all your Shopify data.  Sell beyond local stock. ",5.0,24.0,sales-channels-selling-in-person-retail,True,59.0,199.0,https://apps.shopify.com/cloudshelf
couriersplease-1,CouriersPlease Shipping,Flip,"Official CouriersPlease app for Shopify. Get live rates, create consignments, print labels, book pickups and track orders - free for Australian merchants.",,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/couriersplease-1
shipfigo-shipping-tracking-1,GharShip: Shipping & Tracking,NEOTECHKING GLOBAL SOLUTIONS PRIVATE LIMITED,"We helps merchants create shipments, generate AWBs, track deliveries, manage fulfillment, and connect with multiple courier partners from a single dashboard.",,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/shipfigo-shipping-tracking-1
helpomatic,HelpOMatic : AI help responder,Combustion Partners Ltd.,"Automated AI customer support for Shopify stores via email and FAQs.
Customers email and receive a personalised reply with store trained data in your brand tone",,,store-management-support-faq,True,9.0,27.0,https://apps.shopify.com/helpomatic
visual-orders-queue,Visual Orders Queue,appFabrication,"View orders with product images, notes, tags, and statuses in a visual fulfilment queue. Create picking lists and process orders faster.",,,,True,3.9,3.9,https://apps.shopify.com/visual-orders-queue
syncport,SyncPort,FANHOLICS LLC,"SyncPort lets merchants export and import products, menus, collections, pages, metafields and orders with bulk jobs, schedules and backups.",,,,True,9.99,59.0,https://apps.shopify.com/syncport
stockpalette,StockPalette ‑ Quick Inventory,Theme-X,,,,orders-and-shipping-inventory-inventory-optimization,False,,,https://apps.shopify.com/stockpalette
collection-feature-box,View6 Collection Feature Box,View 6,,,,,True,1.99,19.99,https://apps.shopify.com/collection-feature-box
amplify-kiosk-1,Amplify Kiosk,One iota,"Amplify Kiosk lets customers browse your store on an Android device and scan a QR code to complete checkout on their phone—fast, secure, and contact-free.",4.3,3.0,,False,19.99,100.0,https://apps.shopify.com/amplify-kiosk-1
mpo-warehouse,MPO Warehouse,MPO IBERICA,,,,orders-and-shipping-shipping-solutions-third-party-logistics-3pl,True,,,https://apps.shopify.com/mpo-warehouse
kit-comfort,Kit Comfort,The Comfort Stack,"Kit Comfort manages Shopify kit and bundle SKUs with component lists, live buildable counts, assembly events, and component decrements.",,,,True,29.0,179.0,https://apps.shopify.com/kit-comfort
shopify-application-203,UR: Login Order Discount,UnReact Inc.,「シンプル会員注文割引｜お手軽ログインセール設定」は、Shopify 向けの注文割引アプリです。シンプルな料金体系で追加課金なし。日本製のため、日本語サポートも完備しています。,,,marketing-and-conversion-promotions-discounts,True,4.99,4.99,https://apps.shopify.com/shopify-application-203
meroxio-link-shortner,Meroxio Link Shortener,MeroxIO IT Solutions,,,,,True,4.99,4.99,https://apps.shopify.com/meroxio-link-shortner
back-in-stock-hero,Back in Stock Hero,Revamp,,,,marketing-and-conversion-upsell-and-bundles-stock-alerts,True,7.0,25.0,https://apps.shopify.com/back-in-stock-hero
fleet-1,Fleet,Lloyd & Co Ltd.,,,,,True,,,https://apps.shopify.com/fleet-1
sam-shipping-protection,Sam Shipping Protection Upsell,ShopWil,"Shipping protection covers stolen or damaged items while you keep 100% of the fees. Customize protection plans based on cart subtotals (fixed, percentage, range",4.9,90.0,orders-and-shipping-returns-and-warranty-warranties-and-insurance,True,9.0,29.0,https://apps.shopify.com/sam-shipping-protection
whatsells,WhatSells,GRVKN,"Verfolge QR-Codes, Flyer, Influencer-Links und Kampagnenumsatz direkt in Shopify. Miss Klicks, Bestellungen, ROI und ROAS.",,,store-management-operations-analytics,True,9.0,19.0,https://apps.shopify.com/whatsells
resolvi,Resolvi ‑ Warranty Management,Westridge Developments Pty Ltd,"Resolvi handles product warranty claims on Shopify end-to-end. Branded portal, item-level decisions, automated replacements, and live fault analytics. ",,,,True,49.0,299.0,https://apps.shopify.com/resolvi
wyngit,Wyngit,Splendense,,,,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,,,https://apps.shopify.com/wyngit
stock-notifier,Stock Notifier,Webkul Software Pvt Ltd,,5.0,1.0,marketing-and-conversion-upsell-and-bundles-stock-alerts,True,19.0,19.0,https://apps.shopify.com/stock-notifier
checky-gift-card-balance,Checky ‑ Gift Card Balance,Punchy Inc,,5.0,2.0,,True,5.0,5.0,https://apps.shopify.com/checky-gift-card-balance
clarity-session-replay-heatmap,Clarity Session Replay Heatmap,247 Apps,"Set up Microsoft Clarity, track conversion events without coding. Replay session recordings, heatmaps & track behaviour data.",5.0,3.0,store-management-operations-analytics,True,5.99,8.99,https://apps.shopify.com/clarity-session-replay-heatmap
rp-bulk-price-editor,RP: Bulk Price Editor,Rapify,"Run timed sales and price updates at scale. Apply fixed or percentage changes, target products or variants, and restore original prices automatically.",,,marketing-and-conversion-promotions-discounts,True,9.99,29.99,https://apps.shopify.com/rp-bulk-price-editor
promotions-studio,Promotions Studio,Quark Digital Agency,"Promotions Studio helps merchants schedule discounts, show custom product badges, collect feedback, and add social proof from one app.",,,,True,10.0,10.0,https://apps.shopify.com/promotions-studio
miwish-simple-wish-save,Miwish ‑ Simple Wish & Save,Mintify,"Miwish lets shoppers save products to a wishlist from product and collection pages, helping them return and purchase later. It can display a wishlist page showi",,,,True,,,https://apps.shopify.com/miwish-simple-wish-save
oceanpayment-order-management-1,Oceanpayment Connect,Oceanpayment,,,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/oceanpayment-order-management-1
product-variants-brandup,Combined Listings – BrandUp,BrandUp Factory GmbH,"Merge separate or related Shopify products into one clean main listing. Simplify navigation, boost conversions, and keep your store organized.",5.0,1.0,selling-products-custom-products-product-variants,True,14.99,24.99,https://apps.shopify.com/product-variants-brandup
altgenius,AltGenius AI,AltGenius Labs,"Generate SEO-optimized alt text for product images with AI. Boost image search visibility and accessibility in one click. 14-day free trial.
",,,store-design-site-optimization-seo,True,4.99,4.99,https://apps.shopify.com/altgenius
video-player-by-bplugins,Video Player by bPlugins,bPlugins,"Embed YouTube, Vimeo, or Shopify-hosted videos on product pages to boost engagement and conversions. Customize, track performance, and protect content easily. ",5.0,2.0,store-design-design-elements-animation-and-effects,True,4.99,9.99,https://apps.shopify.com/video-player-by-bplugins
groupmate,groupmate Combined Listings,mono.works GmbH,,5.0,27.0,selling-products-custom-products-product-variants,True,8.0,24.0,https://apps.shopify.com/groupmate
bizmate-b2b-suite,Bizmate: B2B Suite,SIA JB Holdings,"Run wholesale onboarding and approval. Branded application forms, VAT and company-registry checks, native B2B provisioning, and checkout gating.",,,finding-products-sourcing-options-wholesale,True,29.0,149.0,https://apps.shopify.com/bizmate-b2b-suite
topinfo,TopInfo,Lorem Ipsum Corp,,,,store-design-notifications-banners,True,4.0,4.0,https://apps.shopify.com/topinfo
wygodne-zwroty,Wygodne Zwroty,Wygodne Zwroty,Uprość proces zwrotów w swoim sklepie. Pozwól klientom generować etykiety na WygodneZwroty.pl przy użyciu numeru zamówienia. Oszczędź czas i unikaj błędów.,,,orders-and-shipping-returns-and-warranty-returns-and-exchanges,True,,,https://apps.shopify.com/wygodne-zwroty
delivery-date-time-picker,Delivery Date & Time Picker,Lantera,"Add a delivery date and time picker to your store. Let customers schedule delivery or pickup with flexible rules, cutoff times, and availability settings.",,,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,5.99,5.99,https://apps.shopify.com/delivery-date-time-picker
age-verifier-2,ET Age Verification Popup 18+,Ecom Trend,This app restricts underage visitors entering your Shopify website or specific pages with a date of birth (DOB) verification with a minimum age of 18+ or 21+. ,5.0,6.0,store-management-security-legal,True,1.99,1.99,https://apps.shopify.com/age-verifier-2
hongquekol,WinInfluencer: Find Influencer,Yiguo Technology,"We have the industry's ""AI Influencer Search"" feature, where you simply submit your influencer requirements and wait for suitable influencers to respond.",,,,True,9.9,599.0,https://apps.shopify.com/hongquekol
attach-upsell-cross-sell,Attach: Upsell & Cross‑Sell,ArtemisSoft,"Attach shows upsell and cross-sell offers across product pages, cart, and post-purchase — lightweight, merchant-controlled, with one-click post-purchase add.",,,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,,,https://apps.shopify.com/attach-upsell-cross-sell
product-short-videos-widget,AOD ‑ Shoppable Short Videos,Apps On Demand,,,,store-design-images-and-media-video-and-livestream,True,1.95,1.95,https://apps.shopify.com/product-short-videos-widget
go-gift-cards,GoGiftCards: Schedule & Send,Stoic Labs,"Let customers send or schedule digital gift cards and create registries for birthdays, weddings, and holidays—all styled to match your brand.",4.0,18.0,marketing-and-conversion-gifts-gift-cards,True,4.99,9.99,https://apps.shopify.com/go-gift-cards
smart-quick-login-1,Smart Quick login,ENS Enterprises Limited,,,,store-management-security-accounts-and-login,True,10.99,10.99,https://apps.shopify.com/smart-quick-login-1
2boys-wholesale-b2b-suite,2Boys: Wholesale B2B Suite,2boys,"Sell to wholesale customers alongside retail in one store. Customer groups, volume discounts, minimum order quantities, and tag-based order rules.",5.0,1.0,finding-products-sourcing-options-wholesale,True,,,https://apps.shopify.com/2boys-wholesale-b2b-suite
